Nama Produk,Variasi,COGS (RM),Kos Pembungkusan (RM),Yuran Chip 2.5%,Jumlah Kos,Harga TikTok (RM),Harga Cadangan Website (RM),Margin Bersih (RM),Margin %
NOTA:,,,,,"Formula: Harga Website - COGS - Pembungkusan - Chip fee",,,"Tiada komisyen platform = margin lebih tinggi ~8-12% vs TikTok"
,,,,,,,,
Forella Pear,3 biji,5.4,1.5,0.25,7.15,10.0,10.0,2.85,28.5%
Forella Pear,5 biji,9.0,2.0,0.35,11.35,14.0,14.0,2.65,18.9%
Forella Pear,10 biji,18.0,2.0,0.62,20.62,25.0,25.0,4.38,17.5%
Singo Pear,1 biji,-,1.50,-,-,5.00,5.00,-,-
Singo Pear,3 biji,-,1.50,-,-,13.90,13.90,-,-
Singo Pear,5 biji,-,2.00,-,-,22.00,22.00,-,-
Ceri Chile,250g,-,2.00,-,-,55.00,55.00,-,-
Ceri Chile,500g,-,2.00,-,-,79.00,79.00,-,-
Ceri Chile,1kg,-,2.00,-,-,129.00,129.00,-,-
Ceri Chile,2kg,-,3.00,-,-,229.00,229.00,-,-
